title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
Nicely Built 4 Bedroom Detached Duplex,Nicely Built 4 Bedroom Detached Duplex/House FOR Sale,Victory Villa Estate Abijo Ajah Lagos,120000000,4.0,4.0,,23 Sep 2025,11 Nov 2025
4 Bedroom Terraced Duplex With Bq,4 Bedroom Terraced Duplex With Bq/House FOR SALE,"Rock Hampton, Katampe Ext Abuja",192000000,4.0,4.0,,13 Oct 2025,11 Nov 2025
400sqm Land,400sqm Land/Commercial Property FOR Sale,"Coconut Bus Stop, Tin Can Apapa Lagos",400000000,,,,29 Sep 2025,11 Nov 2025
5 Bedroom Detached Duplex With Bq,5 Bedroom Detached Duplex With Bq/House FOR Sale,Megamound Lekki Lagos,420000000,5.0,5.0,,22 Nov 2024,11 Nov 2025
5 Bedroom Detached Duplex With Pool & Bq,5 Bedroom Detached Duplex With Pool & Bq/House FOR Sale,Chevron Tollgate Ikota Lekki Lagos,400000000,5.0,5.0,,14 Oct 2025,11 Nov 2025
5 Bedroom Detached Duplex With Bq,5 Bedroom Detached Duplex With Bq/House FOR Sale,Chevron Tollgate Lekki Lagos,500000000,5.0,6.0,,29 Aug 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex With Bq,4 Bedroom Semi Detached Duplex With Bq/House FOR Sale,By Vgc Lekki Lagos,150000000,4.0,4.0,,09 Oct 2025,11 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR Sale,"Chevron Tollgate, Orchid Lekki Lagos",210000000,4.0,4.0,,08 Oct 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/House FOR Sale,Igbo Efon Lekki Lagos,70000000,2.0,2.0,,10 Oct 2025,11 Nov 2025
5 Bedroom Detached Duplex With Bq,5 Bedroom Detached Duplex With Bq/House FOR Sale,Chevron Lekki Lagos,380000000,5.0,6.0,,09 Sep 2025,11 Nov 2025
6 Bedroom Semi Detached Duplex With Bq,6 Bedroom Semi Detached Duplex With Bq/House FOR Sale,Igbo Efon Ologolo Lekki Lagos,250000000,6.0,6.0,,03 Oct 2025,11 Nov 2025
