title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date,city,price_per_bedroom,price_category,month_posted,property_category
4 bedroom terraced duplex with bq,4 bedroom terraced duplex with bq/house for sale,"rock hampton, katampe ext abuja",192000000.0,4.0,4.0,,2025-10-13,11 Nov 2025,Abuja,48000000.0,High,2025-10,terraced duplex
400sqm land,400sqm land/commercial property for sale,"coconut bus stop, tin can apapa lagos",400000000.0,,,,2025-09-29,11 Nov 2025,Lagos,,High,2025-09,land
5 bedroom detached duplex with bq,5 bedroom detached duplex with bq/house for sale,megamound lekki lagos,420000000.0,5.0,5.0,,2024-11-22,11 Nov 2025,Lagos,84000000.0,High,2024-11,detached duplex
5 bedroom detached duplex with pool & bq,5 bedroom detached duplex with pool & bq/house for sale,chevron tollgate ikota lekki lagos,400000000.0,5.0,5.0,,2025-10-14,11 Nov 2025,Lagos,80000000.0,High,2025-10,detached duplex
5 bedroom detached duplex with bq,5 bedroom detached duplex with bq/house for sale,chevron tollgate lekki lagos,500000000.0,5.0,6.0,,2025-08-29,11 Nov 2025,Lagos,100000000.0,High,2025-08,detached duplex
4 bedroom semi detached duplex with bq,4 bedroom semi detached duplex with bq/house for sale,by vgc lekki lagos,150000000.0,4.0,4.0,,2025-10-09,11 Nov 2025,Lagos,37500000.0,High,2025-10,semi detached duplex
4 bedroom semi detached duplex,4 bedroom semi detached duplex/house for sale,"chevron tollgate, orchid lekki lagos",210000000.0,4.0,4.0,,2025-10-08,11 Nov 2025,Lagos,52500000.0,High,2025-10,semi detached duplex
2 bedroom apartment,2 bedroom apartment/house for sale,igbo efon lekki lagos,70000000.0,2.0,2.0,,2025-10-10,11 Nov 2025,Lagos,35000000.0,High,2025-10,flat/apartment
5 bedroom detached duplex with bq,5 bedroom detached duplex with bq/house for sale,chevron lekki lagos,380000000.0,5.0,6.0,,2025-09-09,11 Nov 2025,Lagos,76000000.0,High,2025-09,detached duplex
6 bedroom semi detached duplex with bq,6 bedroom semi detached duplex with bq/house for sale,igbo efon ologolo lekki lagos,250000000.0,6.0,6.0,,2025-10-03,11 Nov 2025,Lagos,41666666.666666664,High,2025-10,semi detached duplex
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,ikota lekki lagos,600000000.0,5.0,6.0,,2025-09-06,11 Nov 2025,Lagos,120000000.0,High,2025-09,detached duplex
4 bedroom duplex,4 bedroom duplex/house for sale,close to ogudu lagos,245000000.0,4.0,5.0,,2025-05-15,11 Nov 2025,Lagos,61250000.0,High,2025-05,house
